"","LakeName","LakeNum","n_Weight","n_Length","n_Age","Latitude","Area_ha","Elevation","Temperature","Winf_est","Winf_se","Winf_cilo","Winf_cihi","Linf_est","Linf_se","Linf_cilo","Linf_cihi","t0_est","t0_se","k_est","k_se","b0_est","b0_se","b1_est","b1_se"
"11","Chandler Lake",11,330,1330,47,68.22725,1311.5,872,-8,5.13140877011334,0.299142212441869,4.46056427217165,5.63051699319944,753.487474342992,14.8576026572581,719.9462875724,778.672045989198,-1.78158229115458,1.00179735843274,0.0698635628020487,0.00669224372949733,-18.7384846711692,0.374902352416375,3.07529631313737,0.0595182272380822
"12","Crosswind Lake",12,268,304,2,62.35472,3673.54,644,-3,6.00402863652428,0.317681817294638,5.28908039890568,6.58207375424533,800.325881530423,13.2923196862273,770.428260736498,823.879771337213,-0.541073459274442,1.39166120011309,0.0940524082332362,0.0251521939803048,-21.0030376864364,0.37290071096481,3.40982119057594,0.0583055281168291
"13","Deep Lake",13,0,0,0,62.481441,303.51,667,-3,2.58877978065933,3.48869455469126,0.578240261174435,12.0444091518569,591.522630633269,143.669949047503,371.945028166243,933.867342656695,NA,NA,NA,NA,-19.7124472496886,1.87728963417805,3.23742335007053,0.305711513120312
"14","Dickey Lake",14,0,46,0,62.93348,305.54,877,-3,7.40563658844056,2.79803950816672,3.37010325205091,14.3262833970695,824.304175113944,71.2584577068607,651.498618776236,937.52072068187,NA,NA,NA,NA,-19.726481740135,1.92571657838394,3.24013789090199,0.313893917930786
"15","Ellis Lake",15,16,67,0,62.269276,101.17,956,-5,0.909319081715311,0.318009290314076,0.468852428714296,1.71658513579432,424.610361396994,44.3066843464073,342.623056790609,519.555366313308,NA,NA,NA,NA,-18.8290527460394,0.957134137276102,3.09563909636167,0.16630743774815
"16","Fielding Lake",16,623,1291,3,63.17169,561.96,902,-4,5.77406155975746,0.273889467280796,5.30877658226764,6.43787711745194,734.142294842376,10.0889126881751,716.13190727992,757.440914331567,-0.308548539918793,1.24146375395419,0.106070687760758,0.015330719474085,-21.4149949614481,0.185726549282016,3.51132920488458,0.0297256622516599
"17","Galbraith Lake",17,29,168,0,68.46224,413.56,797,-9,5.99915524898095,0.589915023255173,4.75076180909542,7.12110256515069,778.481927943751,25.579716809752,722.555714235421,825.426741896486,NA,NA,NA,NA,-19.0287793496795,0.994632709022218,3.12729738153228,0.153652400135607
"18","Glacier Gap Lake (Denali Hwy)",18,392,1365,406,63.11834,179.3,1137,-3,1.22345548716896,0.05522002017552,1.12536732019276,1.34099709041425,463.849666115432,6.30939077381714,451.944903349038,476.747174486302,-0.949576318596308,0.151669356287791,0.153488387840004,0.00683294849014356,-19.1941320039385,0.265649813785932,3.15917512640334,0.0450963172245009
"19","Goodnews Lake",19,0,0,0,59.49199,348.97,129,0,2.60284689482765,3.55115460255903,0.578190213125838,12.4952607132852,593.955505381153,144.693004984034,373.350385979765,936.720196890235,NA,NA,NA,NA,-19.7443521317536,1.91115903475901,3.24261340006082,0.311395563748466
"20","Hanagita Lake",20,0,51,3,61.234646,52.61,764,-2,3.04579615819195,0.828154402885852,1.93136152815582,5.15573909226578,622.011551737643,39.2253887907356,553.445368743517,706.596594460343,-0.720015280163961,1.51303158777508,0.121635993853229,0.086714420171524,-19.6800771298775,1.91088043410173,3.23270285860363,0.311146629575527
"21","Harding Lake",21,62,88,21,64.434741,887.18,221,-2,10.9859177623678,0.502722246781328,9.97337252952386,11.9965611848873,848.775230729327,13.0562392077375,822.724873613928,874.293999376768,-0.0263785589920988,0.323568855670057,0.175694781205861,0.0196310313244322,-20.9762036369633,0.332347641905805,3.46582176153035,0.0525402281252315
"22","Hidden Lake (Kenai)",22,169,171,0,60.484709,682.7,80,2,1.69077729839923,0.266493784675083,1.20818771300264,2.26391174637027,511.976217344464,25.5969306133375,460.176456747348,562.620753004302,NA,NA,NA,NA,-19.1382486471855,0.429674989289591,3.15212413887284,0.0711193981911692
"23","Itkillik lake",23,10,849,42,68.40173,438.73,672,-9,1.90443180638734,0.359714603964713,1.36605407013443,2.76661665616043,539.922323928175,25.3985292933559,493.353385678536,594.030854179407,-0.724517495334785,0.712495394633395,0.143550102805564,0.0243030105185801,-20.0758854192267,1.29725526682549,3.29242552019494,0.218014632910115
"24","Jack Lake (Nabesna)",24,0,0,0,62.515365,158.55,932,-5,2.35991973980686,3.35846209168177,0.536807486322358,11.1994274115177,575.845849015275,141.767672964655,364.168727279364,917.263240089077,NA,NA,NA,NA,-19.7511343583811,1.89190967679806,3.2446555216819,0.308082868880098
"25","Jatahmund Lake",25,8,117,15,62.62185,1128.84,663,-3,2.33638072124202,0.457856672052878,1.67602733903575,3.46306656824924,574.805478654911,26.591394700992,528.599332776864,632.763877196621,-0.172225339398924,0.835401521201343,0.212219347898103,0.0479775133311539,-20.6403093667476,1.25404723216247,3.38257195269566,0.210258764870637
"26","Juneau Lake (Cooper Landing)",26,3,12,0,60.57625,56.66,386,1,3.03861831333302,1.625827767879,0.913822468683554,7.09159986279855,606.570214711958,90.0076812430168,418.842818836908,771.722259452232,NA,NA,NA,NA,-19.8858436336351,1.56897831331117,3.27863203383232,0.255228603198449
"27","Kagati Lake",27,0,0,0,59.87477,915.39,320,-1,2.87677702835784,3.93275660379938,0.642212568712313,13.3740661037844,611.983298382813,150.08777411744,385.236472221209,971.922659934136,NA,NA,NA,NA,-19.704455051308,1.91089102122309,3.23610743875183,0.31100252441113
"28","Kisaralik Lake",28,0,0,0,60.32216,1362.45,477,-2,2.9937027341299,3.97630077836075,0.652170552000034,14.0378505447207,618.031089454955,152.013626543461,386.473226063245,982.028968597758,NA,NA,NA,NA,-19.7059917663086,1.90934846947671,3.23776839312465,0.310811212026782
"29","Lake Louise",29,0,6735,4,62.32447,5913.07,720,-3,3.89986009898817,0.885087531015909,2.65094215138191,6.05952048284669,669.532835983985,29.1826852582307,622.88567797756,737.116174852683,-1.0389366271943,1.66606169058347,0.224519311353644,0.114460890667434,-19.7193814101949,1.90852860657615,3.23989848611353,0.310709308013636
"30","Landlocked Tangle Lake",30,123,789,26,62.99823,218.53,868,-3,1.17072639188538,0.170077489634202,0.903096425303397,1.5683220207466,461.63020812167,18.2035568487662,429.529147483311,500.793246053234,-3.41005325298111,0.747159919800324,0.0886144532996124,0.0109620960339712,-21.6916575676114,0.601352149493487,3.56201852546989,0.102518597225867
"31","Landmark Gap Lake",31,0,4,0,63.12974,297.85,980,-4,2.59772907547896,3.5638351910065,0.559176430925966,12.2415288545634,591.051073208118,145.04505052055,367.967426388472,946.472515996659,NA,NA,NA,NA,-19.7350039888673,1.87485215950218,3.24250754548282,0.305084479786631
"32","Little Chandler Lake",32,35,195,3,68.27687,331.85,871,-8,3.39996306341518,0.413675070933983,2.68771581579885,4.32847526657632,705.728010165739,28.0979349524911,651.147644969585,761.87058594469,-0.782659012383909,1.54567339657387,0.154412327260341,0.0925420744058184,-16.9276467607927,1.16075055249477,2.76779859400837,0.186018106246697
"33","Little Lake Louise",33,0,1,0,62.302313,506.32,725,-4,2.71366922672424,3.99329605594502,0.588247374596754,13.4105351758686,600.712868013743,149.009539832997,377.002908846584,959.030015420665,NA,NA,NA,NA,-19.69090210556,1.92807178861119,3.23759911674819,0.314248778529394
"34","Little Swede Lake",34,0,0,0,63.01724,30.66,885,-3,1.68688949027939,2.41020185208399,0.36390679617468,8.49563497801368,517.802315616793,131.846532318448,325.375733387752,836.709300880897,NA,NA,NA,NA,-19.7740181878038,1.89772108972482,3.2471585070926,0.309058527950265
"35","Lower Tangle Lake",35,221,548,6,63.135331,137.42,847,-3,4.38816519374189,0.304133157581108,3.81091240214815,5.03570000132852,665.404159394554,13.3269866242144,639.319665751341,692.726984539376,-0.364927120927812,1.27409236689716,0.114716897739078,0.0168728785242909,-21.6122292073726,0.387322781954706,3.55224654391448,0.0621756982201947
"36","Mankomen Lake",36,0,0,0,63.00045,480.61,916,-3,2.68928728012852,3.68515883591068,0.615438959696749,12.6671453157548,599.067653000296,145.031073164491,379.4217120146,947.396366111072,NA,NA,NA,NA,-19.7486740270234,1.91466849811715,3.24374629279847,0.312408624038929
"37","Monte Lake",37,27,27,0,63.503589,60,528,-4,1.15253211495548,0.40071899530771,0.556309843454944,2.11882224976924,440.148149467205,46.74641880913,348.864033537498,535.207642738866,NA,NA,NA,NA,-19.0236792647615,1.44950871221732,3.14903180749532,0.242419918886082
"38","Nabesna Twin 2 Lake",38,0,1,0,62.52668,7.51,941,-5,0.957056368746269,1.44588699370158,0.173344454062276,5.12931410116438,434.261906027759,119.001759759521,258.135408504813,721.994855398865,NA,NA,NA,NA,-19.7397742641024,1.91723777399454,3.24197887056366,0.312312783760992
"39","No Mercy Lake",39,0,23,0,63.864138,0.96,532,-1,0.164469507003806,0.213672524552416,0.0123260450539473,0.760895776461084,251.478730147847,79.0122529499629,117.672686126339,401.275485639095,NA,NA,NA,NA,-19.7563736768345,1.9106910031383,3.24598986615411,0.311190969306027
"40","Paxson Lake",40,326,10656,391,62.90736,1569.9,780,-3,2.56891647546843,0.116433819793304,2.36189677454954,2.81376541963491,615.537281401991,8.93410843735894,599.03342180587,633.957012229064,-2.2339583442428,0.684387066888002,0.153752786718319,0.0157836275253712,-18.1701407618017,0.401104590407407,2.97599771718645,0.0642939412216915
"41","Petrokov Lake",41,0,14,0,63.189,NA,947,-4,0.965369423975624,1.12379444167393,0.11580181792511,4.19771212571216,435.07339127823,108.582804923203,227.278154571565,681.935430243442,NA,NA,NA,NA,-19.7638966109191,1.90356724838493,3.24679141570944,0.310063961194818
"42","Round Tangle Lake",42,236,432,0,63.05591,156.15,852,-3,1.96137760111114,0.252507574680947,1.47427133097124,2.48343428672185,530.206709745119,20.3606552965652,487.753821192248,568.869613258583,NA,NA,NA,NA,-20.5622797442406,0.42990482962773,3.38536271490199,0.0717075711110552
"43","Rusty Lake",43,0,0,0,63.052483,24.28,926,-3,1.57159613440238,2.25828891904222,0.324994063479851,7.86339951117323,506.441468155915,130.32223218639,311.451193507696,820.145995791952,NA,NA,NA,NA,-19.7103379579222,1.88992288717754,3.23839927700675,0.307853418543421
"44","Schrader Lake",44,748,748,0,69.37954,1077.27,852,-9,5.08630525636061,0.25053535739133,4.63255678896455,5.65899120464313,743.203945091562,12.8266835459862,718.913223268517,771.440854612208,NA,NA,NA,NA,-17.6569870441824,0.154387009685554,2.91695816108714,0.0253117409727924
"45","Sevenmile Lake",45,0,64,0,63.181424,622.75,1180,-4,1.47934511098093,0.608215624036077,0.741554576513398,3.08894111501852,497.584003966675,53.00992244877,404.974636294532,618.740494953544,NA,NA,NA,NA,-19.7555404976276,1.90786684301135,3.24519034310507,0.310796754253386
"46","Sevenmile Lake (Denali Hwy)",46,299,3711,210,63.098164,35.13,986,-4,1.15347244006353,0.0583718543037654,1.04551132071843,1.27295347120731,452.553715240378,6.88485196797156,439.207259297362,466.221692723565,0.41310237585364,0.0281430078600469,0.401660267679705,0.0176039558176849,-19.4550164199177,0.306485999095973,3.20481798928106,0.0514607530935246
"47","Shallow Tangle Lake",47,146,180,0,63.07659,102.84,852,-3,3.91257363871324,0.352517475407857,3.21129797008318,4.61024451920779,647.811357132261,17.1222653791961,612.677439481854,680.068422975841,NA,NA,NA,NA,-21.5162589960037,0.498662765608214,3.53413051754273,0.0804893980076564
"48","Skilak Lake",48,370,369,0,60.416389,9914.8,59,2,0.849598649760018,0.160057222850912,0.590439585872692,1.22500121586152,437.018871581687,27.5280223879449,385.632204200625,495.106938711535,NA,NA,NA,NA,-17.9285791853393,0.460754475198317,2.92210872506805,0.078707036978847
"49","Snodgrass Lake",49,0,3,0,63.080389,83.8,768,-3,2.14452776803718,3.19934434855791,0.485225397465479,10.6127677955973,559.136651250769,138.266195114839,354.805507852751,894.115979699465,NA,NA,NA,NA,-19.7335187211799,1.94632376013886,3.24250733049679,0.317070924307825
"50","South Middle Fork Lake (Middle Fork Lake)",50,0,0,0,59.39822,114.9,145,0,2.23525665269068,3.36372322967005,0.495407197686467,10.52332692955,565.987509678136,141.288958199916,355.37182544788,890.799629652812,NA,NA,NA,NA,-19.7048093167383,1.90199129412419,3.23815109350065,0.309855626742744
"51","Summit Lake (Richardson Highway near Paxson)",51,0,11,2,63.15242,1770.12,980,-4,1.64841112125049,0.868438223904173,0.814608300443779,4.03511400481902,514.303711141113,64.6842504676003,419.230305650212,674.854425503079,-0.726849290854609,1.49500418548407,0.121900452958607,0.0689908626029491,-19.7588913233316,1.8963761489231,3.2465812350528,0.309067666740474
"52","Susitna Lake",52,2,24,0,62.39545,3635.18,720,-3,1.79426159679806,1.01635022121901,0.781421939473878,4.60895305860627,533.248654388752,72.4290518672467,414.164132043161,703.585137946311,NA,NA,NA,NA,-20.0047409212565,1.26026768774089,3.27973640654978,0.210362477896515
"53","Swede Lake (Big Swede Lake)",53,0,0,0,62.99097,187.84,850,-3,2.40457722568158,3.15927596371218,0.526775741542168,11.1460765991185,579.097125697246,140.842467048907,364.451654420944,912.344530534765,NA,NA,NA,NA,-19.7202721896242,1.88517990712427,3.24094646936182,0.306920893907498
"54","Two Bit Lake",54,129,824,178,63.134713,114.7,995,-4,0.880360342074796,0.0557700438489314,0.787950368871392,1.00688390289957,438.47788944841,9.59630875981976,422.206568983582,460.022971506216,0.143658234879452,0.572315921248735,0.152541217523859,0.0157461253475049,-16.3466332406119,0.590362179535823,2.66607545635684,0.100034029667169
"55","Upper Tangle Lake",55,90,278,40,63.02778,151.91,866,-3,5.58806785389996,0.424985316640925,4.70201699231009,6.41062611243877,699.263742769459,15.9849802215877,665.90895315087,728.981787600996,-1.02050906090316,0.614484565726212,0.0915472202522807,0.00829434296657871,-21.2322604169246,0.406249950193625,3.50366373355827,0.0658736406650982
"56","Wait-A-Bit Lake",56,0,1,0,63.00832,36.42,938,-4,1.75896001195055,2.47093848820748,0.362147866702343,8.49774671621187,524.773270158968,132.391450498958,323.886611133285,838.578450422347,NA,NA,NA,NA,-19.7786213092881,1.88490418794349,3.24861885681108,0.306846272622889
"57","Wild Lake",57,0,0,0,67.50274,887.77,342,-6,2.83736020026491,3.84988319384692,0.609895543070666,13.6850577392199,608.791960170982,148.888386052689,380.311237122646,972.029572534854,NA,NA,NA,NA,-19.7141621426941,1.94162612001294,3.23771885286643,0.316072284587711
"58","Wonder Lake",58,0,0,0,63.47737,271.52,610,-3,2.53925590634669,3.64720774674831,0.557287310592246,12.3261359260948,588.743896806091,144.943916216326,371.488619028227,937.017500081928,NA,NA,NA,NA,-19.7383115957704,1.90110332555728,3.24175196056363,0.309757044641694
