Available Data and Morphometry,,,,,,,,,,,,,,,,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,Elevation (m),Temp (C),SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,SpeciesPreviouslyStocked,NativeSpeciesPresent,BathymetricMap,Count of ForkLength_mm,Average of ForkLength_mm,Count of Weight_g,Average of Weight_g,Abundance,SWHS,"Include in ""Alaskanizing"" Modeling Exercise",Potentially Include in Lake Trout Management Plan
Region III,Kuskokwim-Goodnews Drainages,Canyon Lake,-161.173090000,59.430570,163,0.00,,,,45.7,,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Caribou Lake (Cantwell),-148.790607000,63.238653,1005,-3.00,77.7,,,,8.46,,lake trout,,,,,,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Caribou Lake (Lake Louise),-146.516570000,62.215247,817,-3.00,7.14,"129,516",1.81,7.6,1.29,"Arctic grayling, coho salmon, rainbow trout","burbot, Arctic grayling, slimy sculpin",Yes,,,,,,Yes,No,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Carlson Lake,-143.861529000,62.763541,809,-3.00,20.23,,,9.1,,,"Dolly Varden, Arctic grayling",No,,,,,,Yes,No,No
Region III,North Slope Drainages,Cascade Lake,-154.596330000,68.376310,979,-8.00,,,,36.6,,,"Arctic char, lake trout, slimy sculpin",Yes,,,,,,,No,No
Region III,Yukon River Drainage,Chandalar Lake,-148.523330000,67.504270,564,-6.00,2216.51,,,35.0,41.19,,"lake trout, burbot, Arctic grayling, Pacific salmon-unspecified, broad whitefish, humpback whitefish, round whitefish",Yes,,,,,Yes,Yes,No,Yes
Region III,North Slope Drainages,Chandler Lake,-152.710600000,68.227250,872,-8.00,1311.5,"178,846,879",13.64,22.0,22.34,,"Arctic char, lake trout, Arctic grayling, slimy sculpin, round whitefish",Yes,1331,536,331,2130,Yes,Yes,Yes,"Yes, combine with Little Chandler"
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Chelle Lake,-144.870670000,62.191990,921,-1.00,14.16,,,10.4,,,"lake trout, Arctic grayling",No,4,566,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Chelle Lake (Chaleau Lake or Hot Dog Lake),,,,,,,,,,,,,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Cheryl Lake,-146.220775000,62.537132,824,-3.00,12.67,,,11.6,,,"lake trout, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Chet Lake,-145.837341000,63.830588,590,-1.00,4,,,10.5,0.90,"Arctic char, Arctic grayling, lake trout, rainbow trout","Arctic grayling, longnose sucker, slimy sculpin",Yes,16,336,,,,Yes,No,No
Region III,Bristol Bay,Chikuminuk Lake,-158.974658,60.219919,182,,,,,,,,lake trout,No,133,455.3909774,133,997.9699248,,,Yes,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Cindy Lake,-146.199017000,62.514827,829,-3.00,8.58,,,14.3,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region II,Mat-Su (Susitna River Drainage),Clarence Lake,-147.823889000,62.675556,868,-3.00,121,,,10.7,,,"lake trout, Arctic grayling, round whitefish",Yes,9,454,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Coal Mine 5,-145.823419000,63.717789,805,-1.00,4,,,8.2,0.85,"Arctic char, Chinook salmon, coho salmon, lake trout, rainbow trout",slimy sculpin,Yes,99,254,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Copper Lake,-143.552340000,62.423909,890,-5.00,750.3,"343,970,683",45.84,71.6,23.09,,"Dolly Varden, lake trout, burbot, Arctic grayling, Chinook salmon, coho salmon, sockeye salmon, whitefish-unspecified, kokanee salmon",Yes,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Craig Lake,-144.710494000,63.731033,479,-2.00,8.41,,,23.4,1.55,"lake trout, Arctic grayling, coho salmon, rainbow trout, sheefish","lake chub, slimy sculpin",Yes,7,319,,,,Yes,No,No
